"id","ind","respuesta"
"cerezo2005062501",1,"1"
"cerezo2005081701",2,"1"
"cpj2006020601",3,"1"
"cpj2006020701",4,"1"
"cpj2006020801",5,"1"
"cpj2006021601",6,"2"
"cpj2006030301",7,"1"
"cpj2006031001",8,"1"
"cpj2006042001",9,"1"
"cpj2006042801",10,"2"
"cerezo2006051801",11,"1"
"cerezo2006060601",12,"1"
"cpj2006062201",13,"1"
"cpj2006071101",14,"1"
"cerezo2006072101",15,"1"
"cerezo2006072102",16,"2"
"cpj2006072401",17,"1"
"cpj2006081001",18,"2"
"cpj2006081701",19,"1"
"cpj2006082101",20,"2"
"cpj2006082401",21,"1"
"cerezo2006090901",22,"2"
"cerezo2006091001",23,"2"
"cerezo2006091201",24,"2"
"cerezo2006091202",25,"2"
"cerezo2006092101",26,"1"
"cerezo2006102801",27,"2"
"cerezo2006110201",28,"-1"
"cpj2006111301",29,"-1"
"cpj2006111701",30,"1"
"cpj2006112201",31,"-1"
"cpj2006120101",32,"-1"
"cpj2006120401",33,"-1"
"cerezo2006120901",34,"-1"
"cerezo2007010901",35,"-1"
"cpj2007011701",36,"-1"
"cpj2007012601",37,"-1"
"cpj2007030701",38,"-1"
"cpj2007041101",39,"-1"
"cpj2007041301",40,"1"
"cpj2007041701",41,"-1"
"cpj2007042401",42,"-1"
"cpj2007050901",43,"-1"
"cpj2007051401",44,"-1"
"cpj2007051701",45,"-1"
"cpj2007052501",46,"-1"
"cpj2007052901",47,"-1"
"cpj2007061201",48,"-1"
"cpj2007061301",49,"-1"
"cerezo2007070201",50,"-1"
"cerezo2007070601",51,"-1"
"cerezo2007071101",52,"-1"
"cpj2007071301",53,"-1"
"cpj2007080801",54,"-1"
"cpj2007080901",55,"-1"
"cpj2007081001",56,"-1"
"cpj2007091001",57,"-1"
"cpj2007100901",58,"-1"
"cpj2007121001",59,"-1"
"cerezo2007121201",60,"-1"
"cerezo2007121401",61,"-1"
"cerezo2007121402",62,"-1"
"cpj2008012801",63,"-1"
"cpj2008012901",64,"-1"
"cpj2008020701",65,"-1"
"cpj2008021501",66,"-1"
"cpj2008022501",67,"-1"
"cpj2008031701",68,"-1"
"cpj2008040701",69,"-1"
"cpj2008041001",70,"-1"
"cpj2008042501",71,"-1"
"cpj2008050701",72,"-1"
"cpj2008060901",73,"-1"
"cpj2008061001",74,"-1"
"cpj2008062301",75,"-1"
"cpj2008080801",76,"-1"
"prodesc2008090901",77,"-1"
"cpj2008092601",78,"-1"
"cpj2008111301",79,"-1"
"cpj2008112001",80,"-1"
"cerezo2008112701",81,"-1"
"cpj2009010801",82,"-1"
"cpj2009021701",83,"-1"
"cerezo2009030601",84,"-1"
"cerezo2009031301",85,"-1"
"cpj2009040601",86,"-1"
"cpj2009050601",87,"-1"
"cpj2009052601",88,"-1"
"cerezo2009071701",89,"-1"
"cpj2009092801",90,"-1"
"cpj2009111201",91,"-1"
"rsf2009122401",92,"-1"
"cpj2009122401",93,"-1"
"rsf2010010401",94,"-1"
"rsf2010010801",95,"-1"
"cpj2010011101",96,"-1"
"rsf2010011601",97,"-1"
"cpj2010011901",98,"-1"
"cpj2010011902",99,"-1"
"cpj2010020201",100,"-1"
"rsf2010030201",101,"-1"
"cpj2010031101",102,"-1"
"rsf2010031201",103,"-1"
"rsf2010031501",104,"-1"
"cpj2010031601",105,"-1"
"cpj2010040901",106,"-1"
"rsf2010040901",107,"-1"
"rsf2010041101",108,"-1"
"cerezo2010041601",109,"-1"
"rsf2010042301",110,"-1"
"cpj2010042901",111,"-1"
"rsf2010043001",112,"-1"
"cpj2010043001",113,"-1"
"cerezo2010050901",114,"-1"
"cpj2010051801",115,"-1"
"prodh2010060701",116,"-1"
"rsf2010061801",117,"-1"
"rsf2010063001",118,"-1"
"cpj2010070101",119,"-1"
"prodesc2010070401",120,"-1"
"prodesc2010070501",121,"-1"
"cpj2010070601",122,"-1"
"rsf2010070701",123,"-1"
"cpj2010070901",124,"-1"
"rsf2010071201",125,"-1"
"cpj2010071301",126,"-1"
"cpj2010072801",127,"-1"
"prodh2010080201",128,"-1"
"cpj2010080201",129,"-1"
"prodh2010080301",130,"-1"
"rsf2010080601",131,"-1"
"rsf2010081101",132,"-1"
"cpj2010081601",133,"-1"
"prodesc2010081601",134,"-1"
"rsf2010081701",135,"-1"
"prodesc2010081701",136,"-1"
"prodh2010081701",137,"-1"
"prodesc2010082601",138,"-1"
"rsf2010082701",139,"-1"
"cpj2010082701",140,"-1"
"prodesc2010090201",141,"-1"
"prodesc2010090901",142,"-1"
"cerezo2010091301",143,"-1"
"cpj2010091601",144,"-1"
"rsf2010091701",145,"-1"
"cpj2010092201",146,"-1"
"rsf2010101501",147,"-1"
"rsf2010102601",148,"-1"
"prodh2010102801",149,"-1"
"prodh2010110201",150,"-1"
"rsf2010110501",151,"-1"
"cpj2010110801",152,"-1"
"prodh2010110801",153,"-1"
"rsf2010111901",154,"-1"
"prodesc2010122201",155,"-1"
"prodh2011010201",156,"-1"
"prodh2011010501",157,"-1"
"acuddeh2011011301",158,"-1"
"acuddeh2011011302",159,"-1"
"rsf2011011301",160,"-1"
"acuddeh2011011701",161,"-1"
"acuddeh2011012501",162,"-1"
"prodh2011012801",163,"-1"
"acuddeh2011013101",164,"-1"
"acuddeh2011020201",165,"-1"
"acuddeh2011020301",166,"-1"
"codigodh2011020301",167,"-1"
"codigodh2011020302",168,"-1"
"rsf2011020801",169,"-1"
"acuddeh2011020901",170,"-1"
"cpj2011021101",171,"-1"
"rsf2011021101",172,"-1"
"acuddeh2011021501",173,"-1"
"rsf2011021601",174,"-1"
"acuddeh2011022101",175,"-1"
"acuddeh2011022201",176,"-1"
"acuddeh2011022501",177,"-1"
"acuddeh2011022801",178,"-1"
"cerezo2011030401",179,"-1"
"prodh2011030601",180,"-1"
"prodh2011030801",181,"-1"
"acuddeh2011030801",182,"-1"
"prodh2011030802",183,"-1"
"prodh2011030901",184,"-1"
"acuddeh2011031701",185,"-1"
"acuddeh2011031801",186,"-1"
"cerezo2011031801",187,"-1"
"rsf2011032501",188,"-1"
"rsf2011032801",189,"-1"
"cpj2011032901",190,"-1"
"acuddeh2011033001",191,"-1"
"acuddeh2011040501",192,"-1"
"a192011041601",193,"-1"
"cerezo2011042301",194,"-1"
"acuddeh2011042701",195,"-1"
"acuddeh2011050501",196,"-1"
"acuddeh2011050601",197,"-1"
"acuddeh2011050602",198,"-1"
"acuddeh2011051101",199,"-1"
"acuddeh2011051301",200,"-1"
"rsf2011051701",201,"-1"
"cpj2011053101",202,"-1"
"cpj2011060101",203,"-1"
"cpj2011060201",204,"-1"
"rsf2011060501",205,"-1"
"cerezo2011060601",206,"-1"
"acuddeh2011060801",207,"-1"
"prodh2011060901",208,"-1"
"cpj2011061001",209,"-1"
"rsf2011061001",210,"-1"
"acuddeh2011061301",211,"-1"
"acuddeh2011061401",212,"-1"
